easting,northing,percent
620551,254281,90
405899,425419,86
223335,87774,43
310574,381444,68
464631,305512,80
451696,389006,85
507968,186182,67
426468,576083,82.4
448458,77856,96
370086,309025,98
346895,357623,101
582890,255662,72.7
207460,54838,68.9
473580,309708,42
420533,459451,76
286252,48393,87
214138,236356,80
339456,238352,66
179459,30850,83.5
419885,454526,87.3
310706,187249,54.6
566460,214504,80
524791,264056,88.8
177315,43324,73
565959,230836,90
335222,117655,101
361876,398087,93.74
301495,663388,64
389277,232679,53
585178,322082,68
566166,258281,67
618855,135907,37
456546,230853,87.9
349396,145387,89.9
176690,782329,76
348191,436628,98
633803,290001,59
331434,335779,72.8
365620,79578,80
239440,840610,67
404388,326011,65
502697,224629,73.6
188518,56135,98
259440,890312,80
340764,390630,80
251602,267139,42.7
287397,367447,72.5
288193,70262,98
448155,252255,14
278303,98758,73.6
341756,368067,75
349738,443767,72.4
401230,177497,98
447700,504005,43
614058,225781,14
323714,121091,73.48
524692,135479,42.7
264747,844762,99.9999
396122,256526,45.1
384702,421730,80
481587,149643,45
482853,241504,73
391471,409589,80
473681,354373,78
104970,895878,68
340627,522635,52.8
394501,664348,87
258099,667594,43
433938,355561,36
313914,210579,43
328551,748867,80
341732,119021,72
308359,289563,64
470101,184930,90
261339,140745,95.7
583386,135259,84.5
569263,226054,99
460906,455380,84.3
487634,364230,99.9
290640,184833,42.7
346068,351298,76
475119,319332,36.935
544752,155167,43
464759,1212350,43
477096,136254,57
565110,199664,90
600111,133421,57
403459,564486,73
262945,659642,65
386431,288157,57.4
284935,204983,98.4
393961,404475,70
279920,678667,83
617395,162585,97.3
416048,168530,50
480374,259620,95
313244,862136,78
328509,674991,53
208714,563227,47
356747,436500,43
485436,101964,83
520985,170078,48.6
470195,381377,71.4
538261,369306,86
485101,159814,57.9
385270,382486,83
463024,379461,85
470495,214170,43
235423,368872,87
384312,223314,98
530972,150623,50
308180,856992,42.7
185062,809332,75
392627,336754,78.5
493720,127109,76.2
584597,165159,92.7
356820,236362,90
415673,437769,67
531906,349000,74
133536,662441,96.38
375081,853499,34
324474,104637,43
517303,121150,99
308744,546620,14
396576,167789,65
359372,200331,42.7
322378,374976,44
462723,450382,82.7
484545,429502,73
438624,389401,43
487822,167464,74
245871,382153,42.7
484801,293098,100
128545,920742,87.4
454604,148076,13.4
278710,692415,70
530493,225100,14
136590,920000,43
406013,157559,88.2
532473,181219,47.9
468830,152623,12
500664,192122,81
379511,396536,80
468789,475031,79
333593,352214,63.4
413602,423170,73.6
466831,394071,80
545477,308299,68
171115,12614,98.65
359888,424280,85
500917,144701,86
260096,673764,87
572465,139190,101
361504,303805,95
289001,101077,84
290063,186572,101
449840,353473,83
397621,327091,50
387746,446727,87
524489,270593,99
426162,339812,82.47
523013,425684,97
170574,857824,75
421572,412435,90
322779,187949,90
395908,176629,49
426207,307472,43
293231,190648,63
652543,294688,86.5
578149,122414,96.37
612601,144643,99
594464,221659,43
214873,681788,59
520085,148203,92
420685,453088,79
389700,203048,73
462704,234725,87
516189,105669,54
493552,373686,88.2
325274,517491,82
336503,415149,67.2
345757,488449,75
371047,291949,62
204628,52173,43
430149,360655,82.6
523920,269987,98.6
530897,296816,64
299767,519318,78
356137,319569,97
355373,312520,83
416007,534296,70
166197,38018,83
547420,314962,73
428206,518367,73.6
310598,500469,74.8
263890,195256,43
502258,130981,101
413750,578928,99
268516,564775,89.4
332036,115426,63
483698,410804,71
383907,436561,67
496107,466300,82.64
385089,207602,43.7
334997,382373,90
566068,246191,64.8
485147,97158,80
249724,660186,14
398617,307939,60
375933,271628,42.7
504260,333658,72
232187,110519,78.5
332089,338545,89
382768,402168,99
343033,116608,83
249449,366924,37
584802,165683,49
472591,99063,95
408621,562306,70
349855,472404,85
252261,664486,63
379598,308158,78
395683,830044,40
404956,562017,37
418141,587538,93.7
112796,925779,43
389335,489222,70
593351,307700,42.7
358677,359523,86.3
609025,321175,87.2
252516,342530,64
256210,620514,96.37
406807,620294,92
618966,297437,14
394077,357385,75
247411,64763,80
457178,371991,74
333047,346846,83
417064,373056,87.11
306562,101610,95
613021,213159,86
538884,366425,42
238875,900372,10.7
458831,132699,101
620701,136654,42.7
364134,841743,90
353330,268374,73.6
516957,259012,43
345908,241866,75
558425,181494,80
282815,696877,96.37
279838,889714,93.4
622846,136189,14
291467,85927,73.6
165196,767741,81
576556,168888,42.7
346224,415674,84
488117,229468,65
437856,1118233,43
393030,259732,78.6
178072,54904,69
301587,115132,49
596446,241641,76
402086,349928,99.9
285416,194146,92
315260,198474,42.7
251926,202079,87.6
371317,638462,96.3
201264,44864,87.3
305873,166350,94.37
369910,763462,82.0672
470823,439896,67
505306,326165,41.7
355717,303062,63
469243,188466,47
357913,171432,48
402411,123785,62.85
508535,147866,76.3
322299,129000,67
368112,1041462,85
207948,59066,80
399504,392828,101
241761,223575,42.7
400767,289090,19
394195,233745,73.6
537130,181779,88.3
392887,415118,96.37
483801,444071,67
462384,123232,53
345186,405012,98
350327,99861,68
607843,258224,95
274429,228930,73.6
253792,132203,90
415350,346105,64
305562,528723,90
483544,329183,76
421042,631457,80
585379,233384,100
509243,307905,78
414491,159162,47.3
521771,104738,98
329093,297430,24
396341,129864,80
497583,222371,87
354135,105064,83.965
299465,193847,54
240297,967795,37
469891,152077,88.2
326792,251644,80
347318,405984,80
526042,337775,43
367951,429459,101
404745,334732,80
539617,222184,81.4
266485,843639,95
374195,82968,89
352725,431815,76
318002,674999,84
329419,254072,43
367499,277493,72
358513,562998,57
393867,186544,92.7
375790,824103,92
249863,138877,76
462998,380499,87
91518,10330,50
280519,628145,68
278426,209960,43
589644,313397,67
244544,127633,47.6
519269,268185,82
249093,55445,23.7
269644,347399,78.3
280183,652844,89
513423,226827,87
241727,240657,92
276224,674450,14
515706,377613,60
463880,212147,78
211373,560354,42.7
229480,109153,17
98339,741793,71.4
380809,310951,92.4
526654,230143,53.2
593078,264302,98
542315,207250,82
604130,343349,98
506028,285917,43
464676,115058,91
415727,429878,90
199155,219605,79
480288,99685,87
331849,568077,62.4
302200,342576,83
192685,70240,97
382379,403746,80
238263,244385,90
566957,188351,99
390902,411493,67
359566,482967,73.2
444475,101335,93
319763,488256,43
430523,416839,78
375064,401620,42.7
260591,71481,51
477069,320035,60
441627,463366,100
468158,111732,43
338399,392522,43
374956,273151,84
293136,72225,90
203650,55429,87.3
424446,1180100,63
280304,376083,92
395827,287555,75
442746,126717,86
387439,785854,82
516544,245890,83.6
446164,1140231,74
443480,225764,42.3
335890,698073,73.6
310869,729781,97
427916,150586,80
365445,768579,78
380569,245345,67.38
534373,167393,28
443905,363031,93
430976,121895,90
368117,302728,97
406625,264580,64
366711,181973,72
575020,256518,87.3
171448,621138,74
427820,420495,97.625
383566,159386,75
395039,277687,78.42
381990,146214,100
440680,1151189,80
598494,285601,76
397266,296524,42.7
512096,374967,78
594540,250248,43
419008,552490,89.65
333656,386200,99
489812,407105,99
327929,808250,37.8
312829,291537,67
337633,147963,86
361177,171535,75
536500,205601,87
327675,559012,65.2
318119,238945,67
392824,248728,40
398182,154338,43
273667,873517,89.7
390584,276043,86
587776,309720,76.9
583648,110372,83.2
351513,243374,42.7
300218,251564,67
494069,347571,83
458374,129010,83
336622,149772,78.5
207134,206273,42.397
450692,356000,47.36
242665,635266,56
386103,454379,80
486903,173396,42.7
499789,243594,85
346303,119297,87
384537,421443,6
310171,166548,79
488887,181202,37
403805,499336,70
241148,958568,75.8
141411,33633,78.4
297179,181239,88.2
416873,437672,90
379232,422092,73
310511,221379,43
395984,139108,82.8
233498,103160,78
448031,198245,72.9
370777,641719,99
194673,820365,76
576979,216868,95
407006,453160,72.4
235637,392642,80
510907,383360,78.8
326490,262401,73
416361,459327,75
334182,857338,43
348726,128527,63.4
416458,558323,67
457882,190848,84
463411,100409,42.7
583307,144222,48.73
539697,174364,85
354862,127003,99
352177,310672,80
447450,340536,78
513257,258877,80
417576,184893,69.69
450161,518891,90
280734,378914,63.7
350275,190083,43
424375,357673,100
409787,315724,54.3
409991,361427,55.8
259964,280854,75
416911,448272,84.25
400471,299330,31.7
526484,116859,88.2
295749,631741,62
418244,264698,80
433271,387871,76
304445,228596,87.336
440209,318225,42.7
344123,109787,17
399801,567840,80
385332,348201,72
310756,235448,36.2
527291,224221,86
377163,125993,68.1
469464,431799,82
391972,344738,92.4
432107,170431,14
324302,366284,83
444034,360876,47
455736,256949,86
392670,356170,73.4
523685,195341,90
363643,372709,43
426805,361498,99
499046,430709,70
359666,301451,37
369730,832873,38
394758,405514,85
493137,182886,42.7
249453,859258,50
487521,239748,70
506518,179308,86.4
331532,276360,27
568451,334328,64
420249,246442,95.3
575834,168122,73.6
613629,164460,58
540518,182686,98.3
480242,190065,51
372863,286573,90
276765,234468,80
474056,128056,74
455574,185744,73
629959,284016,87.32
604008,134486,75
528717,180596,101
345200,115919,99
485200,169366,78.976
523880,224173,14
543569,362806,97
362321,174527,67
392172,252986,63.78
361209,386846,43
250051,145796,42.7
465638,387761,76.24
464485,428786,90
483575,237596,87
316979,729389,96.236
365370,348411,47.3
251269,372163,78
315536,688565,98
448906,310138,99
351305,347925,67.98
375915,363479,99
609103,269791,80
388506,537995,97
171456,34257,78
483944,149027,48
350334,214213,80.359
432897,96143,23.7
464355,174272,67
546696,148379,46.3
462672,300292,80
321868,476350,101
429647,550371,23
444598,513471,96
651467,295837,42.7
350385,285751,92
384559,402429,98
370430,335491,83
534073,326993,14
488698,238044,42.7
573482,238242,43
427315,110504,97.2
407649,205061,45
411221,427108,72.3
521117,295627,84.4
429616,422886,80
321921,672707,74.8
207009,567893,91
506899,104392,70
315802,478752,42.7
426460,359580,90
494061,141000,95
588470,176502,87
382732,332195,95
242727,639261,87
530572,178303,82.5
393505,362505,14
344766,407240,100
175611,828854,42.7
305412,703079,87
448654,430359,58
523819,141070,91
334955,207128,73.6
602211,252569,73.6
390460,411136,80
447885,212593,76.5
271326,798948,68.964
336542,132521,100
347960,115731,72.8
369865,191012,72
418019,105522,80
529434,208077,67.56853
513230,116101,100
217295,677357,43
579203,204872,45
201284,41556,80
622697,308406,42
436982,555029,84
607795,277284,96.8
191481,822067,38
339555,711903,42.7
504289,310233,51.8
367028,407766,43
341896,339754,95
380777,331675,72
351788,428379,69
406941,612000,90
434302,494525,83
549881,231454,42.7
417752,246503,82.6
193767,196987,74
391855,386123,90
608739,255205,98.765
280016,933179,97.5
423106,348886,79
355770,412796,42.7
342499,535409,72
446561,340377,37
394695,418162,87.5
417524,226901,65
304858,206630,87
625688,258887,90
553503,129540,62
486962,237456,78
266449,866079,80
425819,121274,88
403953,555089,30
344372,388118,101
314866,523850,53
356827,407161,63.4
339963,315305,82.3
439053,409952,39
332390,113269,100
651456,286850,72
439120,384285,43
334491,185140,73.5
422690,201286,73.255
333319,347381,93
232932,388770,101
418258,286899,84
360712,764120,72
339051,190968,65.3
609698,153960,70
339986,136660,59.3
289926,71674,87.3
365811,232805,53.5
421859,220658,96
408825,419787,57
355210,105715,67
346606,546058,76
451867,293985,70
170945,49721,83
540796,126135,50
581487,197283,83
511747,342168,50
300138,203348,43
424137,624565,75
580606,246494,60
320794,175136,80
352216,593181,76
203226,51492,45
357021,469265,85
254741,669223,83
339044,553158,66
489315,404450,74
516607,310475,54
483234,233281,85
360550,227616,100
314381,752249,53.7
512637,441443,97.8
392334,402783,90
426986,1150592,99.3
291412,107988,72
312480,968544,83.527
625620,150353,96
388600,354197,87
430591,388400,87
533513,366699,82
117623,893977,27.34
486353,128383,80
103641,744015,80
356155,430964,40
331904,695718,98
370749,122688,70
558639,116801,80
566763,148608,87.9
379941,334414,80
376741,468499,93
320270,976664,92.4
115115,891398,82
243225,129120,87.6
369476,228475,43
348893,436246,50
471948,348913,70
376328,246505,78.43
627751,261854,99.8
331253,325153,86
313122,674841,46
317814,745297,87
406795,426160,88.2
577004,201324,57
511669,381261,99
549963,305340,73
395524,489493,62.846
504117,223647,61.3
305919,645619,67
377107,386078,47
394476,564779,93
509365,371593,78.43
288690,692922,93
327718,187036,98
366220,758685,97
270777,868577,82
372937,328434,28
461629,477048,45
564063,310932,63
236560,64238,87.3
417380,225414,87.3
451495,1190836,87.336
421932,341436,79
401994,205723,97
270735,654520,79
582287,207151,98
584417,131443,97
331573,503383,81
142162,673168,79
534861,327250,53
393142,845691,43
378450,315783,42.7
345291,293647,85
224520,249019,79
570787,241182,85
381654,188033,78.94
386276,441523,80
347392,393324,83
429677,540037,75
425255,372367,87
491914,134328,74
547137,177577,64
473902,373337,80
453294,425354,100
526138,212796,42.7
415826,118713,99
425802,223503,57
362016,514717,99
376340,211011,99
377642,265434,67
281775,381558,80
410853,438939,72
71119,801660,72.15
368022,295688,97
380320,168505,73
345926,153208,83.4
632158,304560,80
587359,141174,83
265482,289339,87
594711,161479,90
514462,215308,75
387711,273884,89.7
602010,254763,92
277156,377350,100
358290,211388,74.7
341290,237925,60
253752,669806,95
492058,337688,84
378588,423215,81
85727,874098,26.8
312544,690347,69
297767,189506,62
257939,57755,14
261399,126962,74.5
360490,792517,47.15
520094,206036,99
355800,223393,43
384480,197162,69.7
365843,213517,70
308838,688090,99
140595,849019,80
599649,207851,79
396917,399447,98
279573,72484,42
547129,204646,43
481836,131707,99
606470,288182,70
307312,308390,87
378624,632690,101
346164,718208,86
176756,52561,42.7
612404,227311,80
529671,199216,99.9
415784,430230,80
390115,404223,83.5
534835,199721,90
513240,127911,97.3
385929,105753,42.4
451342,206181,67.4567
451802,383704,80
419898,522659,82.3
358907,136618,38
405661,321567,80
303706,140956,80
316652,688852,98.641754
359771,617737,99
356910,703807,14
483275,236936,78
346262,175055,90
339000,557247,74
462548,112702,42
450867,125647,90
298601,686043,76
500561,262388,98
327092,310460,38.6
299629,362438,98
464672,339270,93
629500,330309,85.7
553854,141718,42.7
426143,591146,98
395898,220525,73
442836,489206,43
539395,249642,99.1
332391,336832,42.7
525340,192989,55
251110,61404,93
421594,311006,90
535762,224061,88
343707,158152,90
455454,115356,89
457535,322629,83
600270,251093,80
358757,107071,0
450475,199806,94
433577,406984,42
241190,58137,43
432687,380134,42.6
518262,231602,78
332840,151510,43
426545,529106,84
347451,733147,87
590058,185899,58
640729,322584,63.5
262247,875365,93
389644,124861,63.5
461620,249102,85
475336,273735,26
418094,346747,76
394703,193180,74
196013,741113,72
389802,809650,83
393494,321824,32.9
241562,967044,78
436141,187579,72
340659,862936,68
193621,48390,60
303445,191101,82.6
342839,127325,87.927
377606,113422,80
204018,849233,97.8
375770,217825,99.9
335029,292812,63
349509,384861,45
312173,672506,75
376848,85387,69
582671,262025,73.6
439615,340845,83
258572,216530,76.34
367483,387697,80
400083,179426,14
557555,229669,92.4
534827,246135,86.8
468415,335509,76.54
355404,383821,87.3
607260,249374,38
475844,473130,80
334763,557261,62
370833,564127,90
204557,626225,96.43
595117,243665,57
644443,313936,42.7
294062,107206,75
491788,209378,88
281255,566818,55.3
372857,316904,99
409150,228088,85
618643,137898,87.56
325657,737046,89.3
609862,259865,75.4
467107,306606,9.3
241801,215903,95
437428,88703,82.7
328487,137690,73
407500,269538,99
386392,538560,42.5
401545,154145,85
247353,57643,99.99
367092,112245,68
276575,651575,20
362775,434632,50
624137,259551,78.45
372281,418165,95
343141,736495,87.35
284062,215342,87
490474,132830,43
520743,248916,42.7
444346,1174162,87.14
325966,208970,78
277671,300908,76
258713,323014,56
527202,357747,101
363630,741740,80
588185,149543,88.2
274560,204464,88.6
648790,288238,42
471034,247411,87
425933,366071,94.5
357569,436466,80
285541,683437,79.8
583836,177858,43
444195,514674,76
352460,165755,23
529477,163252,92.4
434897,519969,60
551490,189133,46.3
328295,194516,43
334399,735654,90
259630,310576,99
434489,447393,99
345701,126796,47
555760,358683,38
172916,49767,90
365123,212033,99
439551,171798,68.55676
444146,374651,101
207749,667272,86.7
355501,415731,56
423517,149191,5
591904,329637,40
197671,52906,79
444462,462085,98.6
307433,712177,93.2
353507,526621,42.7
395643,390935,78
269823,670879,90
324175,664054,82
331716,193647,60
555414,318102,60
546559,133414,90
242457,126488,87.64
388690,439616,22
174251,886484,97.23
218845,215399,90
498773,420818,56
526358,336150,68
269449,231418,98
261250,336001,67
404714,99669,50
283285,687410,77.2
445017,234978,73
476622,385466,80
484961,201207,87.2
482100,169648,100
140796,955987,50
560312,209921,70
541586,347380,58
574398,301523,60
302757,115695,98.4
380292,421660,95
381358,256862,76.2
358265,472230,42.7
419362,96653,58
389426,338415,47
533937,144673,67
396710,277968,67
225728,69327,78
472615,182376,73.6
311647,190843,42
296467,93914,45
423268,437515,84
455052,343392,95
273224,66605,67
74215,832106,92
579673,217096,64
274727,149698,87
341798,167086,73
241798,229007,26.8
342688,322464,60
339310,521551,95
537502,390757,70
379462,322810,98
387862,251167,93
545290,382351,85
265651,280138,99
446351,113385,79
391295,298719,14
500485,306499,72.6
533343,374679,53.9
308821,114297,43
209211,887950,95
184256,225011,51
348277,288598,86
435305,298329,72
419770,567225,98.2
293550,680138,76
391655,320827,43
345204,251858,87.342
262495,196853,95
314325,299127,78
284380,310311,97
279095,697527,78
346440,751494,83
461385,330795,40
490814,322913,58
456565,154582,43
374542,108903,73.6
400651,340606,75.9
307465,667575,93
585170,137345,87
338829,158039,98
509911,267807,101
488681,191760,42.7
334295,1005865,95
350013,244486,86.9
251513,194170,83
416667,331920,95
439810,555031,86
549254,367263,70
433874,548742,42.7
210796,63205,38.2
425299,326327,95
287723,333983,74
327952,278034,98
446261,343874,99
333534,672302,80
429151,126706,78.8
247837,71282,42.7
263142,840004,98.6
315085,187975,87.3
390989,134509,87
540320,185312,46.678
511952,174761,75
340269,375250,80
409671,278670,98
365672,399351,93
426013,498040,80
326139,570182,85.3
417004,420371,90
543047,174425,87.3
447232,121187,80
410177,287599,101
422895,433333,73.6
538098,174995,62
458826,205758,95
389861,407406,83
502799,206835,93
480575,219226,87
320758,196785,67
250279,56505,90
245691,139140,50
276684,666012,86.37
311082,302315,101
518629,103948,42.7
630973,164712,99
453770,256204,87
268137,649014,67
419660,421079,86
484172,385731,80
464148,100092,10
450597,174088,70
396234,347270,72
329862,336843,62
500124,224715,72
621574,234558,99
442107,356240,85
278785,61806,82
409326,256837,42.6
418752,529701,101
410575,419664,70
386670,398059,65
363184,366639,80
554527,104542,30
327626,255438,67.8413
314849,534801,88.6
225792,107716,93.8
303671,530858,88.2
407969,178647,72
359523,401191,90
214645,777145,73
548341,159941,80
441114,405802,98
373318,87646,80
326545,523526,80
458480,519822,67
342735,128086,46
307429,954987,72
384137,157448,42.7
427491,447500,30
509713,220779,75
390547,423907,14
497126,344546,37.5
285119,876412,43
404223,257902,101
438393,203578,73
614789,279927,67
468403,351438,47.9
362951,248209,101
84371,855137,41.7
258465,323850,14
345026,376457,99.9
414088,412062,86
356609,170477,94
435763,453459,82.2
509067,285207,67
422178,364575,43
307835,343473,99
389602,174576,14
575932,258019,82
515287,266814,76
479728,135546,74.6
610638,309969,23.7
519147,267624,80
614215,265827,101
439655,490444,66
461615,164034,94.5
389851,301052,94
427082,564250,42.7
391702,569002,67
393177,295840,72
270398,871818,43
370273,408092,97
240195,681705,95
424491,279076,90
415066,383014,89
331168,438124,97
300649,506164,43
437143,386337,83.4
369109,204284,95.74
374194,395740,83.6
434492,388089,89.9
131275,842969,96
261277,655026,40
403141,352049,98
171772,39968,83.7
620835,157470,43
441614,212202,14
169585,645853,94
180675,47543,101
498523,178967,85
345599,478751,84
255242,52119,25
389340,450549,90
259040,280362,86.4
631375,235800,98
405211,326112,80
506392,243628,98
95883,740423,88.2
410674,355278,94
283252,899974,42.7
417097,564428,50
368542,427559,9
460092,151746,72
568183,212156,20
575706,158615,63.4
460554,326199,43
360950,401409,78
465842,1216373,42.7
570380,164190,74.2
323370,125562,76
505450,181276,14
515905,218964,90
349256,635720,96.37
418850,583598,42
585144,221508,90
208309,239946,92.4
326458,686281,78
