highway,longitude,latitude
traffic_signals,-0.1432763,51.5111499
traffic_signals,-0.1444597,51.5123032
traffic_signals,-0.1361711,51.5098718
traffic_signals,-0.1400988,51.5020419
traffic_signals,-0.1408653,51.5001929
crossing,-0.1408288,51.5004242
crossing,-0.1405376,51.5009786
crossing,-0.1419356,51.5022029
traffic_signals,-0.1431237,51.4991261
crossing,-0.1329746,51.4996147
traffic_signals,-0.1412764,51.4918291
crossing,-0.1078394,51.517587
traffic_signals,-0.0985242,51.5233095
traffic_signals,-0.0803217,51.524348
mini_roundabout,0.0047888,51.5247319
traffic_signals,-0.0880296,51.5266842
traffic_signals,-0.1041687,51.5351411
give_way,-0.0936952,51.530102
mini_roundabout,-0.0886007,51.5395861
traffic_signals,-0.0810866,51.5392554
crossing,-0.0702106,51.5360132
traffic_signals,-0.0462243,51.5218176
mini_roundabout,-0.0431004,51.517787
mini_roundabout,-0.0426807,51.5177486
crossing,-0.0884908,51.5059681
traffic_signals,-0.0896201,51.5050866
traffic_signals,-0.1191781,51.5177057
traffic_signals,-0.1138032,51.5182573
crossing,-0.1193746,51.5308379
traffic_signals,0.009378,51.537179
traffic_signals,-0.1418345,51.5427364
traffic_signals,-0.1467613,51.5361019
traffic_signals,-0.1461901,51.5368354
crossing,-0.1507329,51.5459368
crossing,-0.1630905,51.5265645
traffic_signals,-0.1129121,51.5263749
crossing,-0.1525103,51.5030333
traffic_signals,-0.1239796,51.5093363
crossing,-0.1312575,51.5075834
traffic_signals,-0.17343,51.4821517
traffic_signals,-0.1815397,51.4816725
traffic_signals,-0.1613041,51.5017506
traffic_signals,-0.09303,51.5107973
crossing,-0.0997408,51.5056267
crossing,-0.1113433,51.5057204
traffic_signals,-0.1127346,51.5216568
traffic_signals,-0.1297493,51.4991747
traffic_signals,-0.1441251,51.4909854
traffic_signals,-0.2671147,51.4876839
traffic_signals,-0.1544018,51.5103397
crossing,-0.1577911,51.5108762
crossing,-0.1731341,51.5054272
crossing,-0.1685861,51.5118666
traffic_signals,-0.130842,51.5273553
speed_camera,-0.1294056,51.5278321
crossing,-0.0983065,51.523348
traffic_signals,-0.0876681,51.5192568
crossing,-0.0781798,51.514419
traffic_signals,-0.0835633,51.5163762
crossing,-0.0656604,51.5176847
traffic_signals,-0.0075078,51.5075339
traffic_signals,-0.0079312,51.5071368
traffic_signals,0.0002104,51.5107436
crossing,0.0002368,51.5117491
traffic_signals,0.0312476,51.5221181
traffic_signals,0.0951236,51.5250471
traffic_signals,0.1120531,51.5248878
traffic_signals,0.1178108,51.5323448
motorway_junction,0.1423988,51.5275105
motorway_junction,0.1916478,51.5105775
traffic_signals,0.1419381,51.5907482
mini_roundabout,0.134008,51.5880343
traffic_signals,0.1420234,51.5721959
traffic_signals,0.1175588,51.5824436
crossing,-0.0265525,51.5091566
traffic_signals,-0.0391893,51.5117961
traffic_signals,-0.141769,51.5465043
traffic_signals,-0.1426145,51.5389346
traffic_signals,-0.1398645,51.5405083
traffic_signals,-0.1380152,51.5383635
crossing,-0.1366989,51.5368118
crossing,-0.1411003,51.5371711
traffic_signals,-0.1442214,51.540743
crossing,-0.133178,51.5381681
traffic_signals,-0.156858,51.5817339
crossing,-0.1406774,51.5508682
crossing,-0.1319509,51.5429508
traffic_signals,-0.1354519,51.5352407
traffic_signals,-0.1781475,51.5257445
give_way,-0.1713892,51.5340793
traffic_signals,-0.1874926,51.6467689
traffic_signals,-0.1903564,51.6477019
traffic_signals,-0.1907142,51.6478893
traffic_signals,-0.1999084,51.6530159
traffic_signals,-0.1965855,51.6511224
mini_roundabout,-0.2069233,51.652976
mini_roundabout,-0.2122227,51.6528694
crossing,-0.1410151,51.551505
traffic_signals,-0.1334426,51.5662605
speed_camera,-0.2506783,51.6509076
traffic_signals,-0.1739929,51.602619
motorway_junction,-0.0589929,51.6825738
traffic_signals,-0.0507037,51.6836098
traffic_signals,-0.0485753,51.6826433
traffic_signals,-0.0506325,51.6824739
traffic_signals,-0.1748844,51.6301762
traffic_signals,-0.1747764,51.6298315
crossing,-0.1767457,51.6145788
traffic_signals,-0.193124,51.6017249
traffic_signals,-0.1979855,51.5971222
motorway_junction,-0.1981203,51.5897531
mini_roundabout,-0.1962104,51.6036474
traffic_signals,-0.242912,51.6419416
traffic_signals,-0.1750749,51.6074454
traffic_signals,-0.1740888,51.6024908
crossing,-0.1953458,51.6002132
crossing,-0.19516,51.6001439
traffic_signals,-0.1214746,51.6129164
mini_roundabout,-0.1781236,51.6016878
mini_roundabout,-0.1770813,51.6018975
motorway_junction,-0.0913841,51.6163647
traffic_signals,-0.0867119,51.6159846
traffic_signals,-0.2064572,51.5885433
traffic_signals,-0.2118699,51.5912067
traffic_signals,-0.2116928,51.5912869
traffic_signals,-0.2062217,51.5887844
speed_camera,-0.2177279,51.5771858
motorway_junction,-0.2159043,51.5777879
speed_camera,-0.2177511,51.5770266
mini_roundabout,-0.172657,51.6502594
traffic_signals,-0.1696483,51.6490307
crossing,-0.1714438,51.6497606
traffic_signals,-0.1611031,51.6441096
traffic_signals,-0.1383,51.6365915
traffic_signals,-0.2018615,51.6561951
traffic_signals,-0.2613085,51.5516004
motorway_junction,-0.2999555,51.5309591
motorway_junction,-0.3223379,51.5332407
traffic_signals,-0.3240748,51.5336913
mini_roundabout,-0.3202671,51.5341165
traffic_signals,-0.3297932,51.533565
traffic_signals,-0.3299567,51.533563
motorway_junction,-0.3345105,51.5341387
traffic_signals,-0.3299347,51.5339365
crossing,-0.2860018,51.5281791
traffic_signals,-0.274032,51.5261071
crossing,-0.262821,51.5222661
crossing,-0.2637678,51.5215693
traffic_signals,-0.2635181,51.5211342
crossing,-0.2625139,51.5194252
traffic_signals,-0.2494073,51.5151467
crossing,-0.2485582,51.5139681
crossing,-0.2458138,51.514028
motorway_junction,-0.2294569,51.5149555
traffic_signals,-0.2272296,51.5170027
mini_roundabout,-0.2154522,51.5178747
traffic_signals,-0.2077238,51.5142579
traffic_signals,-0.1481041,51.5178611
mini_roundabout,-0.1607372,51.6715064
crossing,-0.1114495,51.5560122
crossing,-0.1106364,51.5544056
crossing,-0.1076988,51.5632114
traffic_signals,-0.1911656,51.4907942
crossing,-0.1854193,51.4833347
traffic_signals,-0.1730362,51.4858048
traffic_signals,-0.1754433,51.4894836
crossing,-0.1134569,51.5415619
mini_roundabout,-0.1132703,51.5431959
crossing,-0.1289578,51.5487853
crossing,-0.1261182,51.5450956
crossing,-0.1322537,51.5496719
crossing,-0.0769784,51.534529
crossing,-0.0734889,51.5348145
crossing,-0.0651693,51.5289053
crossing,-0.041957,51.5330126
crossing,-0.0545644,51.5328915
crossing,-0.0511172,51.5332591
crossing,-0.0410517,51.533344
crossing,-0.0395011,51.5339128
crossing,-0.0348713,51.5319279
traffic_signals,-0.108427,51.5268681
mini_roundabout,-0.2031578,51.6006884
mini_roundabout,-0.1888411,51.5956183
turning_circle,-0.1682826,51.6182045
crossing,-0.1961852,51.6302173
mini_roundabout,-0.1905251,51.615056
turning_circle,-0.1993798,51.5995039
mini_roundabout,-0.1507093,51.5614592
traffic_signals,-0.1236768,51.5795386
crossing,-0.1239262,51.5784032
crossing,-0.126171,51.5760582
traffic_signals,-0.1151081,51.5706292
crossing,-0.1106753,51.5686257
mini_roundabout,-0.1040301,51.5742066
crossing,-0.0961148,51.5626919
mini_roundabout,-0.1056058,51.55549
crossing,-0.1557034,51.5739288
traffic_signals,-0.14382,51.6157396
mini_roundabout,-0.1577094,51.6676635
mini_roundabout,-0.1573273,51.6671777
mini_roundabout,-0.1654945,51.6432952
traffic_signals,-0.2167643,51.5949807
traffic_signals,-0.2166699,51.59513
motorway_junction,-0.2403399,51.6047789
mini_roundabout,-0.1535586,51.6093932
traffic_signals,-0.149966,51.6065724
traffic_signals,-0.1340599,51.5877182
mini_roundabout,-0.1281062,51.595101
mini_roundabout,-0.1191495,51.616828
mini_roundabout,-0.1239187,51.6172446
traffic_signals,-0.1218101,51.6208408
traffic_signals,-0.1038027,51.6235927
traffic_signals,-0.1170107,51.6010163
crossing,-0.1311741,51.602067
traffic_signals,-0.115764,51.6005904
crossing,-0.1984082,51.639057
traffic_signals,-0.2360256,51.6304121
traffic_signals,-0.2414937,51.6272859
traffic_signals,-0.2307163,51.5861009
traffic_signals,-0.231087,51.5858658
traffic_signals,-0.2273939,51.5725041
traffic_signals,-0.2301964,51.5720716
motorway_junction,-0.229431,51.5731021
traffic_signals,-0.2321155,51.5714073
motorway_junction,-0.3730238,51.5412215
traffic_signals,-0.3784773,51.5427716
crossing,-0.3803845,51.5415892
crossing,-0.3851092,51.5393563
crossing,-0.3892798,51.5370388
traffic_signals,-0.3902752,51.5363031
traffic_signals,-0.3902198,51.5357934
traffic_signals,-0.3908214,51.5356556
traffic_signals,-0.3913135,51.5360333
traffic_signals,-0.4106456,51.4912077
crossing,-0.4058038,51.472023
traffic_signals,-0.4056896,51.4717682
traffic_signals,-0.4057383,51.4521428
traffic_signals,-0.4111692,51.4441269
motorway_junction,0.2877433,51.5680515
milestone,0.2686435,51.5969263
motorway_junction,0.2571364,51.6135342
milestone,0.2476078,51.6193559
milestone,0.2477482,51.6194966
mini_roundabout,-0.2156402,51.6467091
turning_circle,-0.1806317,51.6088041
motorway_junction,-0.4793697,51.4943134
motorway_junction,-0.4961669,51.4889374
motorway_junction,-0.4605209,51.4959028
motorway_junction,-0.44417,51.4948373
traffic_signals,-0.4539539,51.4961775
motorway_junction,-0.4200046,51.4930698
traffic_signals,-0.1386348,51.5290828
mini_roundabout,-0.192197,51.5615274
traffic_signals,-0.1956837,51.5578261
mini_roundabout,-0.1618026,51.6276568
traffic_signals,-0.1659293,51.6293474
motorway_junction,-0.0222418,51.6040066
motorway_junction,0.0056772,51.5977009
motorway_junction,0.0625729,51.5583221
motorway_junction,0.1792799,51.5143138
motorway_junction,0.2228792,51.5003207
motorway_junction,-0.3858008,51.5456663
motorway_junction,-0.4060173,51.5480176
motorway_junction,-0.4333658,51.5493971
traffic_signals,-0.4489994,51.5483905
crossing,-0.449634,51.5458139
motorway_junction,-0.473375,51.5593538
mini_roundabout,-0.1475838,51.6251046
mini_roundabout,-0.1496468,51.630676
mini_roundabout,-0.1502218,51.6312475
crossing,-0.1490663,51.6307623
mini_roundabout,-0.1630784,51.6426386
traffic_signals,-0.2280572,51.5189481
crossing,-0.2169376,51.5187958
speed_camera,-0.2192021,51.5096466
crossing,-0.2357034,51.516117
traffic_signals,-0.2159081,51.5046425
traffic_signals,-0.2174649,51.5046312
crossing,-0.224578,51.5065931
traffic_signals,-0.2119042,51.5055963
crossing,0.0102474,51.4928341
traffic_signals,-0.1126637,51.5673387
traffic_signals,-0.1182744,51.563305
traffic_signals,-0.0847073,51.5658621
crossing,-0.0906463,51.5724539
crossing,-0.0907236,51.5725233
crossing,-0.0985877,51.5764404
traffic_signals,-0.1037756,51.5908372
traffic_signals,-0.1081382,51.5893395
crossing,-0.114212,51.5958786
mini_roundabout,-0.1143351,51.5963798
traffic_signals,-0.0843469,51.5431277
crossing,-0.0980111,51.5490963
crossing,-0.0899126,51.5469444
mini_roundabout,-0.2501647,51.6136395
mini_roundabout,-0.2468015,51.6098889
traffic_signals,-0.2575364,51.5921315
mini_roundabout,-0.2444545,51.5909879
mini_roundabout,-0.245258,51.5870908
traffic_signals,-0.2481743,51.584295
motorway_junction,-0.2216522,51.5782349
traffic_signals,-0.2270957,51.5827331
traffic_signals,-0.2268511,51.5827335
crossing,-0.2212114,51.5838793
traffic_signals,-0.2217553,51.5897612
traffic_signals,0.0310105,51.4879811
traffic_signals,-0.2288226,51.5019648
traffic_signals,-0.2345113,51.5064645
mini_roundabout,-0.2158513,51.501805
mini_roundabout,-0.2175636,51.502246
traffic_signals,-0.2140138,51.5026542
traffic_signals,-0.2451028,51.5067466
traffic_signals,-0.2568227,51.5065559
mini_roundabout,-0.2656195,51.5024899
mini_roundabout,-0.2712582,51.5072717
crossing,-0.2882759,51.5104124
traffic_signals,-0.2915503,51.511246
traffic_signals,-0.2918996,51.5101512
traffic_signals,-0.3062522,51.5129824
mini_roundabout,-0.3144568,51.5147188
traffic_signals,-0.3194748,51.5109183
mini_roundabout,-0.3296624,51.4841445
motorway_junction,-0.2997293,51.4914468
traffic_signals,-0.0152765,51.473037
traffic_signals,-0.1007054,51.4503428
traffic_signals,-0.1137042,51.4552079
crossing,-0.1117632,51.461869
crossing,-0.1150165,51.4626331
traffic_signals,-0.1141896,51.4647238
traffic_signals,-0.1126214,51.4679431
traffic_signals,-0.1125102,51.4704235
crossing,-0.1244424,51.4705602
traffic_signals,-0.1268108,51.4687959
traffic_signals,-0.1291217,51.4597463
traffic_signals,-0.1190832,51.4556742
crossing,-0.1134491,51.452372
traffic_signals,-0.1115053,51.4448568
crossing,-0.1561418,51.5389258
traffic_signals,-0.2920954,51.5242767
traffic_signals,-0.2913273,51.5169991
mini_roundabout,-0.3069811,51.5218384
mini_roundabout,-0.3055286,51.5110489
mini_roundabout,-0.2959349,51.5082278
mini_roundabout,-0.3067588,51.5042588
crossing,-0.2889651,51.5035328
traffic_signals,-0.2965231,51.5008176
traffic_signals,-0.2997907,51.4996996
traffic_signals,-0.3058062,51.4983273
traffic_signals,-0.1386213,51.5264907
traffic_signals,-0.057058,51.5379547
crossing,-0.1047966,51.5114132
mini_roundabout,-0.0267688,51.5389927
traffic_signals,-0.0223333,51.5335474
motorway_junction,-0.0176556,51.5313327
crossing,-0.0756463,51.5461709
traffic_signals,-0.0579815,51.5526711
traffic_signals,-0.0553609,51.5561323
traffic_signals,-0.0581142,51.5630133
crossing,-0.0683018,51.5545809
traffic_signals,-0.0558489,51.5581066
crossing,-0.0692541,51.5580651
traffic_signals,0.0231194,51.5802351
crossing,0.0002845,51.5815557
traffic_signals,-0.0405429,51.5872255
traffic_signals,-0.0163594,51.5632206
crossing,-0.0739126,51.5607034
crossing,-0.0736617,51.5619376
crossing,-0.0807502,51.579408
crossing,0.0080351,51.4885049
crossing,-0.0009096,51.5018942
mini_roundabout,-0.2331121,51.6077825
mini_roundabout,-0.2335304,51.6081274
mini_roundabout,-0.2599248,51.6169268
mini_roundabout,-0.1646859,51.6086735
traffic_signals,-0.1411994,51.5166636
traffic_signals,-0.1842797,51.5307009
traffic_signals,-0.1821679,51.5361776
traffic_signals,-0.1698347,51.5196787
traffic_signals,-0.1784056,51.525949
mini_roundabout,-0.1664233,51.6392478
crossing,-0.1595169,51.5145425
traffic_signals,-0.1786262,51.5139054
traffic_signals,-0.1642578,51.5160149
traffic_signals,-0.2056606,51.5167726
mini_roundabout,-0.2058952,51.5156874
crossing,-0.2059581,51.5228227
mini_roundabout,-0.196361,51.5190654
mini_roundabout,-0.1987959,51.5134459
mini_roundabout,-0.2001854,51.5128681
traffic_signals,-0.1857439,51.5103563
motorway_junction,0.0117836,51.4896057
crossing,-0.0144792,51.4933394
traffic_signals,-0.0652036,51.4922582
mini_roundabout,-0.0608171,51.4920848
crossing,-0.076265,51.4903282
traffic_signals,-0.0753087,51.4913606
crossing,-0.0736365,51.4932213
traffic_signals,-0.0955802,51.4998927
traffic_signals,-0.0969407,51.4991103
traffic_signals,-0.0824799,51.5024053
crossing,-0.0985933,51.5009045
traffic_signals,-0.2046959,51.5346313
mini_roundabout,-0.1860326,51.5299032
mini_roundabout,-0.1744608,51.5000436
traffic_signals,-0.1830468,51.4907604
traffic_signals,-0.178632,51.4938478
traffic_signals,-0.1688762,51.4937031
traffic_signals,-0.1635892,51.4970624
turning_circle,-0.2089482,51.6426295
turning_circle,-0.2086668,51.6419173
turning_circle,-0.208337,51.6419846
traffic_signals,-0.3666474,51.54901
traffic_signals,-0.3333124,51.5772162
traffic_signals,-0.3406139,51.5816108
traffic_signals,-0.258135,51.5926111
traffic_signals,-0.2674102,51.6006136
crossing,-0.2077596,51.5686736
traffic_signals,-0.2064164,51.5668052
crossing,-0.1971897,51.5594296
traffic_signals,0.0149987,51.492833
mini_roundabout,-0.2756168,51.615627
crossing,-0.4077602,51.4787409
traffic_signals,-0.4392111,51.4795177
crossing,-0.4224438,51.4666584
traffic_signals,-0.1504947,51.4663028
crossing,-0.2559812,51.4360907
crossing,-0.2556575,51.4359313
traffic_signals,-0.2561612,51.4356771
motorway_junction,-0.2268358,51.4467807
crossing,-0.190838,51.4593202
crossing,-0.1771589,51.4719036
crossing,-0.2756039,51.4236036
crossing,-0.2770453,51.4218011
crossing,-0.2871976,51.4140326
traffic_signals,-0.3015255,51.4171138
traffic_signals,-0.2966747,51.4108582
traffic_signals,-0.3005431,51.410479
traffic_signals,-0.2908754,51.4113612
traffic_signals,-0.3019112,51.4082826
crossing,-0.2050844,51.4717278
crossing,-0.2018479,51.4774509
traffic_signals,-0.3683533,51.4131478
crossing,-0.3911733,51.4755564
traffic_signals,-0.3469177,51.4817648
crossing,-0.1329738,51.4636131
traffic_signals,-0.3120232,51.4888536
crossing,-0.3063484,51.490936
traffic_signals,-0.2926519,51.4914916
crossing,-0.2819435,51.4918915
motorway_junction,-0.2771888,51.4893105
traffic_signals,-0.3005161,51.4646398
traffic_signals,-0.3221071,51.457253
traffic_signals,-0.3223679,51.4571457
traffic_signals,-0.3223937,51.457506
mini_roundabout,-0.1664499,51.6359119
motorway_junction,-0.3851054,51.4351354
traffic_signals,-0.3061163,51.4118713
crossing,-0.3050057,51.4127635
crossing,-0.3050781,51.4126108
traffic_signals,-0.3051521,51.4128064
crossing,-0.3007451,51.4133795
traffic_signals,-0.3044067,51.403131
traffic_signals,-0.2892776,51.4096754
traffic_signals,-0.2892334,51.4097721
traffic_signals,-0.2869674,51.4090314
traffic_signals,-0.2854422,51.4084578
traffic_signals,-0.3070745,51.430087
crossing,-0.2969393,51.450728
mini_roundabout,-0.3055096,51.4582351
crossing,-0.3058592,51.4600733
mini_roundabout,-0.3186565,51.4514315
traffic_signals,-0.3196215,51.4511455
crossing,-0.3296241,51.4455589
crossing,-0.3112908,51.4130503
crossing,-0.156667,51.4599879
traffic_signals,-0.1618545,51.4644895
crossing,-0.1571813,51.4652985
crossing,-0.3316779,51.4509405
traffic_signals,-0.3298664,51.4492367
traffic_signals,-0.3401696,51.4447127
crossing,-0.3771874,51.4365551
mini_roundabout,-0.3339085,51.4268046
crossing,-0.3347413,51.4247286
mini_roundabout,-0.3349439,51.4214405
crossing,-0.2167079,51.461709
crossing,-0.2111811,51.4684307
traffic_signals,-0.2192264,51.483386
crossing,-0.2203832,51.4858939
traffic_signals,-0.2211043,51.4868669
traffic_signals,-0.221707,51.4873465
traffic_signals,-0.2221911,51.4877241
traffic_signals,-0.2439219,51.4651041
crossing,-0.2485128,51.4649391
crossing,-0.2464342,51.47149
mini_roundabout,-0.2445792,51.4702781
crossing,-0.2248147,51.4920946
traffic_signals,-0.2248092,51.4928054
traffic_signals,-0.1354206,51.4720725
crossing,-0.2548436,51.4651978
crossing,-0.2534683,51.4652257
mini_roundabout,-0.2500145,51.4625393
crossing,-0.224202,51.4683964
mini_roundabout,-0.236217,51.4667172
mini_roundabout,-0.2382459,51.4626147
crossing,-0.3492155,51.4381819
mini_roundabout,-0.4308693,51.4531232
mini_roundabout,-0.4227636,51.4515046
mini_roundabout,-0.3868658,51.4632659
traffic_signals,-0.3781446,51.4653005
traffic_signals,-0.3708853,51.4668339
traffic_signals,-0.36857,51.4673488
crossing,-0.3743439,51.4691346
traffic_signals,-0.3692043,51.4684977
mini_roundabout,-0.3771657,51.4636036
traffic_signals,-0.3569754,51.4700141
traffic_signals,-0.3550019,51.4705233
traffic_signals,-0.3638557,51.4655381
traffic_signals,-0.349949,51.4717541
traffic_signals,-0.3386318,51.4751231
mini_roundabout,-0.3483413,51.4703131
mini_roundabout,-0.3284859,51.4706891
mini_roundabout,-0.3287379,51.4690947
traffic_signals,-0.3301126,51.4660691
mini_roundabout,-0.3243353,51.4699196
mini_roundabout,-0.3241184,51.46841
traffic_signals,-0.3315759,51.4605399
traffic_signals,-0.3726121,51.4569588
crossing,-0.3092279,51.4828786
traffic_signals,-0.3063548,51.4834715
traffic_signals,-0.3069693,51.3666463
crossing,-0.3021896,51.3791174
traffic_signals,-0.3108352,51.3919743
crossing,-0.304813,51.3992758
traffic_signals,-0.3025812,51.3994344
traffic_signals,-0.2955651,51.3853485
mini_roundabout,-0.2800474,51.3826492
mini_roundabout,-0.2781002,51.3828829
motorway_junction,0.1574692,51.4459156
motorway_junction,0.153595,51.447734
motorway_junction,-0.5026916,51.4807273
motorway_junction,0.0438496,51.5969619
traffic_signals,-0.1124417,51.4987739
crossing,-0.1114457,51.4964701
crossing,-0.107695,51.4973861
crossing,-0.1035255,51.4977073
crossing,-0.1046376,51.4960794
crossing,-0.1046182,51.5009459
traffic_signals,-0.1045359,51.5037006
traffic_signals,-0.0960653,51.5029414
traffic_signals,-0.3114241,51.6176551
crossing,-0.3115216,51.6176225
traffic_signals,-0.1732781,51.5996729
mini_roundabout,-0.1781766,51.6037536
crossing,-0.0904053,51.5577385
mini_roundabout,-0.0925655,51.5552872
mini_roundabout,-0.0835221,51.5611645
traffic_signals,-0.0684993,51.5108071
traffic_signals,-0.0706588,51.5139016
motorway_junction,0.1226534,51.448955
motorway_junction,0.0463606,51.4555815
speed_camera,0.0359623,51.459267
traffic_signals,0.0424449,51.457248
crossing,0.0253925,51.4490371
traffic_signals,0.0147174,51.4462127
traffic_signals,0.0138253,51.4459623
traffic_signals,-0.0172529,51.4458992
traffic_signals,-0.0180207,51.4438826
traffic_signals,-0.0269766,51.4432262
traffic_signals,-0.0425585,51.442237
crossing,-0.0584014,51.4405473
traffic_signals,-0.0615169,51.4405278
crossing,-0.0640122,51.4407832
traffic_signals,-0.106252,51.4409975
traffic_signals,-0.1244553,51.4452714
crossing,-0.1349948,51.4489325
traffic_signals,-0.1318907,51.4478587
turning_circle,-0.1988174,51.6141992
mini_roundabout,-0.2078664,51.6061568
crossing,-0.2076686,51.6053158
turning_circle,-0.1665884,51.6149703
mini_roundabout,-0.1042077,51.6634653
mini_roundabout,-0.0993729,51.6632699
crossing,-0.0942655,51.6640906
traffic_signals,-0.0799342,51.6522997
mini_roundabout,-0.0975638,51.6539106
speed_camera,-0.1216869,51.6520498
turning_circle,-0.1840306,51.6425925
turning_circle,-0.1760319,51.6367766
turning_circle,-0.1582702,51.6234775
turning_circle,-0.1556922,51.6223562
turning_circle,-0.1547517,51.622421
turning_circle,-0.1542713,51.6244964
turning_circle,-0.1704295,51.6151795
traffic_signals,-0.1763628,51.5151787
mini_roundabout,-0.1817995,51.6508245
mini_roundabout,-0.3626786,51.6170744
traffic_signals,-0.3355537,51.596647
traffic_signals,-0.3350925,51.5956744
traffic_signals,-0.3286607,51.5803396
speed_camera,-0.082244,51.6223221
traffic_signals,-0.0598581,51.6515673
traffic_signals,-0.2656772,51.5841937
mini_roundabout,-0.2654968,51.5657234
mini_roundabout,-0.2653211,51.5661512
traffic_signals,-0.263316,51.5648484
mini_roundabout,-0.2527109,51.5602739
mini_roundabout,-0.2406483,51.5482635
traffic_signals,-0.2686452,51.529741
mini_roundabout,-0.2696338,51.5226563
traffic_signals,-0.300538,51.5397244
traffic_signals,-0.3006681,51.5396608
mini_roundabout,-0.3058533,51.5394149
traffic_signals,-0.3153438,51.5400356
mini_roundabout,-0.2301316,51.5628078
traffic_signals,-0.2238703,51.5645578
mini_roundabout,-0.2271388,51.5721003
mini_roundabout,-0.2292994,51.5692876
junction,-0.0907341,51.6364598
crossing,-0.0815886,51.6367521
crossing,-0.286628,51.5533231
traffic_signals,-0.2772134,51.5654404
traffic_signals,-0.2727409,51.5654615
crossing,-0.2615293,51.5528948
mini_roundabout,-0.1675216,51.3347761
traffic_signals,-0.1683855,51.3627583
traffic_signals,-0.1461179,51.3076678
crossing,-0.1382553,51.3159972
mini_roundabout,-0.1382795,51.320904
crossing,-0.1299319,51.3267867
traffic_signals,-0.1189833,51.367716
crossing,-0.118646,51.3684032
